question_id,section,subtopic,difficulty_tag,exam_tags
Q00001,Logical Reasoning,Puzzles,Hard,General
Q00002,Quantitative Aptitude,Averages,Easy,Placements
Q00003,Quantitative Aptitude,Compound Interest,Hard,"CAT,TCS NQT,General"
Q00004,Quantitative Aptitude,Progressions (AP/GP),Hard,"CAT,General"
Q00005,Verbal Ability,Para Jumbles,Easy,Placements
Q00006,Quantitative Aptitude,Permutation & Combination,Medium,"CAT,TCS NQT,Placements"
Q00007,Logical Reasoning,Input-Output,Easy,Banking
Q00008,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,Placements"
Q00009,Logical Reasoning,Input-Output,Medium,"SSC,Placements"
Q00010,Logical Reasoning,Series Completion,Easy,"CAT,General"
Q00011,Verbal Ability,Para Summary,Easy,SSC
Q00012,Verbal Ability,Fill in the Blanks,Medium,"SSC,CAT,Banking"
Q00013,Quantitative Aptitude,Probability,Medium,Banking
Q00014,Quantitative Aptitude,Profit & Loss,Medium,"SSC,TCS NQT,General"
Q00015,Logical Reasoning,Series Completion,Easy,"CAT,General,Placements"
Q00016,Quantitative Aptitude,Mixtures & Alligations,Easy,Placements
Q00017,Quantitative Aptitude,Simple Interest,Easy,"SSC,Banking"
Q00018,Verbal Ability,Cloze Test,Medium,"Placements,SSC"
Q00019,Quantitative Aptitude,Linear Equations,Medium,General
Q00020,Quantitative Aptitude,Averages,Hard,"General,CAT,Placements"
Q00021,Verbal Ability,Idioms & Phrases,Easy,"Placements,General,Banking"
Q00022,Verbal Ability,Para Summary,Easy,"General,TCS NQT"
Q00023,Logical Reasoning,Statement & Assumption,Easy,"SSC,CAT,Placements"
Q00024,Quantitative Aptitude,Percentages,Easy,"Banking,SSC"
Q00025,Quantitative Aptitude,Profit & Loss,Easy,TCS NQT
Q00026,Data Interpretation,Mixed DI Sets,Medium,General
Q00027,Quantitative Aptitude,Trigonometry,Medium,"General,Banking"
Q00028,Verbal Ability,Synonyms & Antonyms,Medium,"Placements,General"
Q00029,Logical Reasoning,Statement & Conclusion,Medium,"TCS NQT,Banking,General"
Q00030,Quantitative Aptitude,Linear Equations,Medium,Placements
Q00031,Data Interpretation,Venn-based DI,Easy,"CAT,General"
Q00032,Quantitative Aptitude,Simple Interest,Easy,General
Q00033,Quantitative Aptitude,Time & Work,Easy,"Banking,TCS NQT,CAT"
Q00034,Verbal Ability,Para Summary,Easy,"TCS NQT,Banking"
Q00035,Data Interpretation,Venn-based DI,Medium,"TCS NQT,CAT"
Q00036,Quantitative Aptitude,Surds & Indices,Medium,"CAT,TCS NQT,SSC"
Q00037,Verbal Ability,Cloze Test,Hard,"CAT,SSC"
Q00038,Logical Reasoning,Input-Output,Easy,Banking
Q00039,Quantitative Aptitude,Number System,Easy,"General,SSC,Placements"
Q00040,Logical Reasoning,Puzzles,Medium,"SSC,TCS NQT,Placements"
Q00041,Logical Reasoning,Direction Sense,Hard,"Placements,TCS NQT"
Q00042,Quantitative Aptitude,Permutation & Combination,Easy,TCS NQT
Q00043,Verbal Ability,Fill in the Blanks,Medium,"CAT,General"
Q00044,Quantitative Aptitude,Linear Equations,Medium,"Placements,CAT"
Q00045,Data Interpretation,Tables,Easy,"CAT,General,Banking"
Q00046,Quantitative Aptitude,Profit & Loss,Medium,"Placements,General,Banking"
Q00047,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,General"
Q00048,Quantitative Aptitude,Geometry,Hard,TCS NQT
Q00049,Quantitative Aptitude,Pipes & Cisterns,Easy,"Placements,SSC,Banking"
Q00050,Verbal Ability,Cloze Test,Easy,"SSC,Banking,TCS NQT"
Q00051,Logical Reasoning,Puzzles,Easy,Placements
Q00052,Verbal Ability,Para Jumbles,Medium,"CAT,TCS NQT"
Q00053,Data Interpretation,Venn-based DI,Easy,TCS NQT
Q00054,Data Interpretation,Tables,Hard,CAT
Q00055,Quantitative Aptitude,Partnership,Medium,"CAT,Placements,General"
Q00056,Logical Reasoning,Syllogisms,Easy,"CAT,TCS NQT"
Q00057,Quantitative Aptitude,Ratio & Proportion,Hard,"General,Banking"
Q00058,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Placements,TCS NQT,Banking"
Q00059,Verbal Ability,Sentence Correction,Hard,"Banking,Placements"
Q00060,Verbal Ability,Para Jumbles,Easy,General
Q00061,Quantitative Aptitude,Geometry,Hard,"Banking,General"
Q00062,Quantitative Aptitude,Mensuration,Easy,"CAT,General,TCS NQT"
Q00063,Logical Reasoning,Ranking & Order,Medium,"SSC,CAT,Placements"
Q00064,Verbal Ability,Sentence Correction,Easy,TCS NQT
Q00065,Quantitative Aptitude,Mensuration,Medium,Banking
Q00066,Verbal Ability,Synonyms & Antonyms,Medium,"Banking,Placements"
Q00067,Quantitative Aptitude,Profit & Loss,Medium,"TCS NQT,CAT"
Q00068,Data Interpretation,Bar Graphs,Medium,"TCS NQT,CAT,General"
Q00069,Data Interpretation,Tables,Medium,Banking
Q00070,Logical Reasoning,Analogy,Medium,"Placements,Banking"
Q00071,Quantitative Aptitude,Percentages,Medium,Banking
Q00072,Data Interpretation,Bar Graphs,Hard,"SSC,Banking"
Q00073,Data Interpretation,Caselets,Medium,"General,TCS NQT"
Q00074,Data Interpretation,Radar/Spider Charts,Hard,Placements
Q00075,Quantitative Aptitude,Mixtures & Alligations,Medium,CAT
Q00076,Quantitative Aptitude,Progressions (AP/GP),Medium,"TCS NQT,CAT,SSC"
Q00077,Data Interpretation,Bar Graphs,Medium,TCS NQT
Q00078,Verbal Ability,Odd One Out,Hard,"TCS NQT,Placements,CAT"
Q00079,Quantitative Aptitude,Permutation & Combination,Medium,Placements
Q00080,Verbal Ability,Para Jumbles,Medium,"CAT,Placements,Banking"
Q00081,Logical Reasoning,Puzzles,Easy,"Placements,TCS NQT,CAT"
Q00082,Data Interpretation,Pie Charts,Hard,"General,TCS NQT"
Q00083,Logical Reasoning,Venn Diagrams,Medium,"Placements,SSC"
Q00084,Verbal Ability,Sentence Correction,Medium,"Banking,Placements"
Q00085,Data Interpretation,Caselets,Easy,"SSC,CAT"
Q00086,Logical Reasoning,Blood Relations,Easy,"TCS NQT,General"
Q00087,Logical Reasoning,Puzzles,Medium,TCS NQT
Q00088,Quantitative Aptitude,"Time, Speed & Distance",Easy,"SSC,Placements,General"
Q00089,Verbal Ability,Para Jumbles,Medium,SSC
Q00090,Verbal Ability,Critical Reasoning,Easy,Banking
Q00091,Verbal Ability,Idioms & Phrases,Easy,"SSC,TCS NQT,CAT"
Q00092,Logical Reasoning,Clocks & Calendars,Medium,"CAT,Placements,SSC"
Q00093,Verbal Ability,Para Jumbles,Hard,General
Q00094,Verbal Ability,Idioms & Phrases,Easy,SSC
Q00095,Logical Reasoning,Clocks & Calendars,Easy,"Placements,SSC,General"
Q00096,Logical Reasoning,Statement & Conclusion,Easy,"Banking,SSC,CAT"
Q00097,Quantitative Aptitude,Profit & Loss,Easy,"Banking,SSC,CAT"
Q00098,Verbal Ability,Reading Comprehension,Easy,"Placements,SSC"
Q00099,Data Interpretation,Line Graphs,Medium,"Banking,TCS NQT,General"
Q00100,Logical Reasoning,Blood Relations,Easy,CAT
Q00101,Logical Reasoning,Direction Sense,Medium,"CAT,SSC,Placements"
Q00102,Logical Reasoning,Input-Output,Easy,CAT
Q00103,Logical Reasoning,Clocks & Calendars,Medium,"CAT,SSC"
Q00104,Logical Reasoning,Series Completion,Medium,"Placements,CAT,SSC"
Q00105,Verbal Ability,Idioms & Phrases,Easy,"TCS NQT,Placements"
Q00106,Logical Reasoning,Statement & Assumption,Hard,Placements
Q00107,Verbal Ability,Para Summary,Easy,Placements
Q00108,Quantitative Aptitude,Pipes & Cisterns,Medium,"Banking,Placements"
Q00109,Data Interpretation,Caselets,Medium,General
Q00110,Logical Reasoning,Puzzles,Medium,"CAT,Banking"
Q00111,Data Interpretation,Tables,Medium,Banking
Q00112,Quantitative Aptitude,Linear Equations,Easy,"Placements,General"
Q00113,Verbal Ability,Reading Comprehension,Easy,"Placements,Banking,SSC"
Q00114,Quantitative Aptitude,Averages,Medium,SSC
Q00115,Verbal Ability,Fill in the Blanks,Hard,"TCS NQT,Banking,SSC"
Q00116,Quantitative Aptitude,Number System,Easy,SSC
Q00117,Verbal Ability,Synonyms & Antonyms,Hard,"SSC,CAT,TCS NQT"
Q00118,Logical Reasoning,Input-Output,Medium,"General,SSC"
Q00119,Quantitative Aptitude,Geometry,Hard,"TCS NQT,CAT,Banking"
Q00120,Verbal Ability,Verbal Analogies,Medium,SSC
Q00121,Quantitative Aptitude,Percentages,Hard,"Banking,CAT,Placements"
Q00122,Quantitative Aptitude,Linear Equations,Hard,"CAT,SSC"
Q00123,Logical Reasoning,Venn Diagrams,Easy,"CAT,SSC,TCS NQT"
Q00124,Data Interpretation,Data Sufficiency (DI),Medium,"Banking,SSC"
Q00125,Verbal Ability,Idioms & Phrases,Medium,Placements
Q00126,Verbal Ability,Para Summary,Medium,"Banking,Placements,SSC"
Q00127,Verbal Ability,Para Summary,Medium,"CAT,SSC,TCS NQT"
Q00128,Quantitative Aptitude,"Time, Speed & Distance",Medium,"TCS NQT,General"
Q00129,Logical Reasoning,Venn Diagrams,Hard,"Banking,General"
Q00130,Quantitative Aptitude,Surds & Indices,Medium,TCS NQT
