user_id,signup_date,target_exam,engagement_level
U00001,2026-04-17,Placements,medium
U00002,2025-10-13,Placements,medium
U00003,2025-09-05,CAT,medium
U00004,2025-09-04,CAT,low
U00005,2025-09-04,CAT,low
U00006,2026-05-30,SSC,medium
U00007,2026-03-16,CAT,high
U00008,2026-02-12,CAT,low
U00009,2026-01-30,CAT,medium
U00010,2026-01-03,Placements,low
U00011,2025-12-28,CAT,medium
U00012,2026-05-30,CAT,low
U00013,2025-09-13,CAT,low
U00014,2025-09-04,SSC,low
U00015,2026-02-06,CAT,medium
U00016,2026-05-10,Banking,high
U00017,2026-03-30,CAT,high
U00018,2026-05-21,CAT,medium
U00019,2026-06-02,CAT,medium
U00020,2025-06-25,CAT,high
U00021,2026-07-05,CAT,high
U00022,2025-10-21,Placements,low
U00023,2025-08-05,Placements,low
U00024,2025-09-15,CAT,high
U00025,2025-09-13,Placements,medium
U00026,2026-03-08,CAT,low
U00027,2025-07-20,CAT,medium
U00028,2025-06-01,Placements,medium
U00029,2025-12-23,CAT,high
U00030,2025-06-21,Placements,medium
U00031,2026-06-16,Banking,low
U00032,2026-02-14,CAT,high
U00033,2026-04-12,Placements,medium
U00034,2025-07-10,SSC,low
U00035,2026-06-13,Banking,high
U00036,2026-02-07,CAT,medium
U00037,2025-06-23,Banking,low
U00038,2025-06-20,CAT,medium
U00039,2025-12-04,Placements,medium
U00040,2025-08-17,Banking,high
U00041,2025-08-04,Placements,low
U00042,2026-04-05,Placements,low
U00043,2025-07-12,CAT,medium
U00044,2026-02-26,Placements,low
U00045,2025-10-15,CAT,medium
U00046,2025-11-26,Banking,medium
U00047,2026-01-22,SSC,high
U00048,2026-05-02,CAT,low
U00049,2026-07-04,CAT,high
U00050,2025-10-30,CAT,high
U00051,2026-03-25,Banking,low
U00052,2026-06-28,CAT,high
U00053,2025-12-26,CAT,low
U00054,2025-12-03,CAT,medium
U00055,2026-04-13,Placements,medium
U00056,2026-04-03,CAT,low
U00057,2025-06-11,Placements,low
U00058,2025-11-18,CAT,low
U00059,2025-08-07,CAT,high
U00060,2026-01-29,CAT,low
U00061,2025-06-10,Placements,medium
U00062,2026-05-27,CAT,medium
U00063,2025-09-01,SSC,low
U00064,2025-11-27,Placements,medium
U00065,2026-04-12,CAT,high
U00066,2026-04-14,CAT,low
U00067,2026-01-06,Banking,high
U00068,2025-07-19,Placements,high
U00069,2025-07-28,CAT,medium
U00070,2025-10-27,CAT,high
U00071,2025-09-19,CAT,high
U00072,2025-11-10,CAT,low
U00073,2026-02-13,Placements,low
U00074,2025-09-08,Placements,medium
U00075,2025-06-23,CAT,medium
U00076,2025-11-07,CAT,low
U00077,2025-06-04,CAT,high
U00078,2026-04-18,Banking,medium
U00079,2026-02-03,SSC,high
U00080,2026-02-01,Placements,low
U00081,2026-06-10,CAT,medium
U00082,2026-06-15,CAT,medium
U00083,2026-06-04,Placements,high
U00084,2025-12-05,CAT,low
U00085,2025-08-03,CAT,low
U00086,2025-09-22,CAT,high
U00087,2025-06-21,Banking,low
U00088,2026-01-06,Banking,medium
U00089,2025-07-10,Placements,high
U00090,2025-06-06,Banking,low
U00091,2026-04-01,Placements,low
U00092,2026-06-20,SSC,low
U00093,2025-08-18,CAT,medium
U00094,2025-08-11,Placements,low
U00095,2025-07-26,Banking,medium
U00096,2025-12-23,SSC,medium
U00097,2026-03-09,Placements,medium
U00098,2026-03-28,Placements,high
U00099,2026-01-20,CAT,high
U00100,2025-10-26,Banking,high
U00101,2025-11-21,SSC,low
U00102,2025-09-11,CAT,medium
U00103,2026-01-22,CAT,medium
U00104,2025-07-27,Placements,low
U00105,2025-10-23,Placements,high
U00106,2026-01-15,CAT,high
U00107,2025-10-01,CAT,medium
U00108,2025-08-19,CAT,high
U00109,2025-06-23,SSC,low
U00110,2025-10-24,CAT,medium
U00111,2025-10-04,CAT,high
U00112,2025-07-13,Placements,low
U00113,2026-04-09,Placements,medium
U00114,2025-08-04,CAT,medium
U00115,2026-01-14,Placements,low
U00116,2025-10-23,CAT,low
U00117,2025-10-06,Placements,low
U00118,2025-07-15,Banking,high
U00119,2025-08-31,Placements,low
U00120,2025-12-29,CAT,medium
U00121,2026-01-04,SSC,medium
U00122,2025-12-28,CAT,low
U00123,2025-11-27,Placements,high
U00124,2025-12-21,Placements,high
U00125,2025-06-23,CAT,low
U00126,2025-08-29,SSC,high
U00127,2025-09-22,Placements,medium
U00128,2025-09-12,Placements,medium
U00129,2025-12-23,Placements,high
U00130,2025-07-15,CAT,medium
U00131,2025-12-29,SSC,low
U00132,2025-11-30,CAT,high
U00133,2025-11-21,CAT,low
U00134,2026-02-17,CAT,medium
U00135,2025-06-12,SSC,low
U00136,2026-01-01,Placements,high
U00137,2026-06-26,CAT,medium
U00138,2025-08-14,SSC,medium
U00139,2025-10-07,Banking,low
U00140,2026-01-19,CAT,low
U00141,2025-11-14,CAT,medium
U00142,2025-11-17,CAT,medium
U00143,2025-11-21,SSC,low
U00144,2025-08-16,Banking,low
U00145,2026-01-02,Banking,low
U00146,2026-01-20,CAT,high
U00147,2025-08-11,Banking,low
U00148,2025-06-28,CAT,low
U00149,2026-05-12,Banking,high
U00150,2025-10-02,Placements,low
U00151,2025-12-25,CAT,low
U00152,2026-04-19,CAT,high
U00153,2026-01-29,CAT,medium
U00154,2026-06-18,CAT,high
U00155,2025-06-30,CAT,low
U00156,2025-08-13,Placements,high
U00157,2026-01-19,Placements,high
U00158,2026-06-06,Placements,medium
U00159,2025-11-08,CAT,medium
U00160,2025-07-28,SSC,high
U00161,2025-06-04,Banking,high
U00162,2025-06-04,CAT,medium
U00163,2025-11-30,Placements,medium
U00164,2026-06-19,Placements,medium
U00165,2026-05-17,Placements,medium
U00166,2026-01-10,Banking,low
U00167,2026-03-09,CAT,low
U00168,2026-02-05,Placements,medium
U00169,2025-06-22,CAT,low
U00170,2026-01-05,Placements,medium
U00171,2026-03-24,Banking,low
U00172,2025-06-02,Placements,low
U00173,2025-11-11,SSC,low
U00174,2026-01-23,CAT,high
U00175,2025-07-09,CAT,high
U00176,2026-07-01,CAT,low
U00177,2025-07-07,Banking,low
U00178,2025-08-31,CAT,high
U00179,2025-07-13,Placements,medium
U00180,2026-05-24,SSC,medium
U00181,2026-02-23,CAT,low
U00182,2025-07-17,CAT,low
U00183,2025-12-14,CAT,medium
U00184,2026-01-19,Banking,medium
U00185,2026-05-19,Placements,low
U00186,2026-04-03,Placements,high
U00187,2025-09-12,Placements,medium
U00188,2025-09-01,Banking,low
U00189,2025-10-02,CAT,medium
U00190,2025-12-04,Placements,medium
U00191,2025-09-05,CAT,high
U00192,2026-03-22,CAT,low
U00193,2025-09-26,CAT,low
U00194,2026-06-25,CAT,low
U00195,2026-05-23,Placements,high
U00196,2025-09-27,Placements,high
U00197,2025-06-09,CAT,medium
U00198,2026-04-19,Placements,low
U00199,2025-12-07,CAT,high
U00200,2025-10-18,CAT,low
U00201,2026-02-27,CAT,medium
U00202,2025-10-23,Placements,medium
U00203,2026-06-11,CAT,medium
U00204,2026-03-26,CAT,low
U00205,2026-05-25,Placements,medium
U00206,2025-11-11,CAT,high
U00207,2025-07-12,CAT,low
U00208,2026-01-01,Banking,medium
U00209,2025-11-17,CAT,high
U00210,2026-01-29,CAT,medium
U00211,2025-06-29,CAT,medium
U00212,2026-01-13,SSC,high
U00213,2026-03-25,Placements,high
U00214,2025-10-30,CAT,medium
U00215,2025-09-05,Placements,medium
U00216,2025-08-14,Placements,medium
U00217,2025-07-26,CAT,low
U00218,2026-05-28,Placements,low
U00219,2026-02-26,CAT,medium
U00220,2025-09-25,CAT,low
U00221,2025-06-17,Placements,medium
U00222,2025-08-15,CAT,high
U00223,2025-10-17,CAT,low
U00224,2025-08-30,CAT,low
U00225,2025-12-20,CAT,low
U00226,2026-05-16,Placements,low
U00227,2025-10-14,Placements,medium
U00228,2025-12-29,Banking,low
U00229,2026-06-19,CAT,low
U00230,2026-02-26,SSC,high
U00231,2025-11-19,Placements,low
U00232,2026-04-18,Banking,low
U00233,2026-05-17,Placements,low
U00234,2025-11-17,CAT,low
U00235,2026-06-14,Placements,low
U00236,2025-07-27,Placements,low
U00237,2026-03-21,Placements,low
U00238,2025-06-13,Placements,low
U00239,2025-08-13,Placements,low
U00240,2026-06-05,Placements,low
U00241,2025-06-18,Placements,low
U00242,2025-11-03,CAT,low
U00243,2025-07-06,CAT,high
U00244,2026-07-02,CAT,medium
U00245,2026-05-01,Placements,high
U00246,2025-07-04,Placements,low
U00247,2025-11-13,CAT,high
U00248,2026-05-30,CAT,high
U00249,2025-11-04,CAT,high
U00250,2026-03-06,Banking,low
U00251,2026-02-14,CAT,medium
U00252,2025-06-17,CAT,low
U00253,2026-07-04,CAT,low
U00254,2025-11-09,Placements,medium
U00255,2025-07-21,Placements,high
U00256,2025-06-26,Placements,high
U00257,2026-04-07,CAT,low
U00258,2025-09-22,Placements,low
U00259,2025-09-06,Placements,low
U00260,2025-10-24,CAT,high
U00261,2025-12-18,CAT,medium
U00262,2026-07-02,CAT,medium
U00263,2025-12-04,SSC,high
U00264,2026-06-06,Placements,medium
U00265,2025-10-05,CAT,high
U00266,2025-09-23,CAT,high
U00267,2025-12-31,CAT,low
U00268,2025-09-12,CAT,high
U00269,2026-06-27,CAT,medium
U00270,2025-09-30,Placements,low
U00271,2025-06-04,Banking,low
U00272,2025-11-09,Placements,medium
U00273,2026-02-02,CAT,medium
U00274,2026-05-29,Placements,medium
U00275,2026-07-01,Banking,medium
U00276,2025-12-06,Placements,high
U00277,2026-05-25,Placements,low
U00278,2025-11-02,CAT,high
U00279,2025-09-08,SSC,high
U00280,2026-01-25,Placements,high
U00281,2026-05-25,Placements,low
U00282,2025-06-28,Placements,medium
U00283,2025-06-02,Placements,low
U00284,2026-03-23,Banking,medium
U00285,2026-03-04,CAT,low
U00286,2025-10-23,CAT,high
U00287,2025-08-01,CAT,low
U00288,2025-12-25,CAT,low
U00289,2026-06-30,Placements,high
U00290,2025-10-13,CAT,medium
U00291,2025-09-28,Placements,low
U00292,2026-01-17,CAT,high
