section,subtopic,num_students,avg_accuracy,median_accuracy,num_weak,pct_students_weak
Verbal Ability,Para Summary,282,0.5541784930565866,0.5565792257780768,124,23.6
Verbal Ability,Error Spotting,263,0.5438101294832848,0.5507569938693844,118,22.5
Verbal Ability,Para Jumbles,275,0.5702775504475657,0.5656500448941276,118,22.5
Logical Reasoning,Series Completion,227,0.4982153703510477,0.532606998264696,109,20.8
Verbal Ability,Cloze Test,256,0.5414856963810124,0.5771577764198635,108,20.6
Logical Reasoning,Syllogisms,235,0.548805952164191,0.5669980502027747,107,20.4
Logical Reasoning,Seating Arrangement,223,0.532385615596944,0.5156362105596235,106,20.2
Data Interpretation,Tables,236,0.5584518049832633,0.5636080724128669,106,20.2
Verbal Ability,Synonyms & Antonyms,243,0.5543029927305672,0.5591199601233862,106,20.2
Data Interpretation,Line Graphs,249,0.571727540839392,0.5911292953187038,105,20.0
Logical Reasoning,Statement & Conclusion,218,0.5337465628123673,0.529666737077558,104,19.8
Logical Reasoning,Blood Relations,219,0.5438682111636783,0.5331474445295369,101,19.2
Data Interpretation,Bar Graphs,250,0.5584359242041602,0.5683451392438004,100,19.0
Data Interpretation,Venn-based DI,233,0.568281068289827,0.5617809552820249,100,19.0
Logical Reasoning,Direction Sense,240,0.5597804428002348,0.5950115862944256,98,18.7
Verbal Ability,Sentence Correction,275,0.6154623421712735,0.6493020573744078,98,18.7
Verbal Ability,Critical Reasoning,267,0.5889232340166491,0.617087689751711,98,18.7
Quantitative Aptitude,Partnership,225,0.5647464891333799,0.5693471098247934,97,18.5
Logical Reasoning,Input-Output,240,0.5731435213186895,0.5983583810896127,97,18.5
Logical Reasoning,Puzzles,219,0.5558915616149842,0.5776476917576714,95,18.1
Verbal Ability,Odd One Out,254,0.5863437403458612,0.6161751896714045,95,18.1
Logical Reasoning,Cubes & Dice,225,0.560767151409398,0.6015709755550279,94,17.9
Data Interpretation,Mixed DI Sets,214,0.5397025064752923,0.551917706718387,94,17.9
Verbal Ability,Verbal Analogies,255,0.6095686158331391,0.6500109447872155,94,17.9
Logical Reasoning,Analogy,234,0.5797920099417794,0.5982245493797297,93,17.7
Quantitative Aptitude,Mensuration,210,0.5649574063892261,0.5404101071973022,93,17.7
Quantitative Aptitude,Time & Work,213,0.5569456321697215,0.5832041338213143,92,17.5
Logical Reasoning,Venn Diagrams,229,0.5644206935694768,0.5918927803979422,92,17.5
Logical Reasoning,Coding-Decoding,218,0.5676091945465533,0.5874078332284487,91,17.3
Quantitative Aptitude,Permutation & Combination,196,0.5287274144498026,0.5238891789976196,91,17.3
Verbal Ability,Reading Comprehension,251,0.6052811878072287,0.609878811446018,91,17.3
Quantitative Aptitude,Set Theory,213,0.5783520032093437,0.6409401910196489,90,17.1
Quantitative Aptitude,Profit & Loss,197,0.5403562818111739,0.5553944908467261,90,17.1
Verbal Ability,Fill in the Blanks,264,0.5973093013711132,0.607625974731227,89,17.0
Quantitative Aptitude,Trigonometry,219,0.562457291859992,0.5824564954051138,89,17.0
Quantitative Aptitude,Geometry,220,0.5696904882581054,0.6053598291552595,89,17.0
Quantitative Aptitude,Linear Equations,218,0.5753947276931648,0.6080408524027222,88,16.8
Logical Reasoning,Ranking & Order,206,0.5750289315839409,0.5812505439092378,88,16.8
Data Interpretation,Pie Charts,221,0.589155736606397,0.6319877036229085,87,16.6
Quantitative Aptitude,Progressions (AP/GP),188,0.5422349788281644,0.5692101257552213,86,16.4
Quantitative Aptitude,Number System,222,0.5782642573505475,0.6174220767514238,86,16.4
Quantitative Aptitude,Algebra,214,0.5866486735625965,0.620466838510471,84,16.0
Quantitative Aptitude,Logarithms,188,0.5469637502118649,0.5658240160126791,84,16.0
Quantitative Aptitude,Quadratic Equations,213,0.5643045390552611,0.5958139322100438,84,16.0
Quantitative Aptitude,Averages,208,0.5779970368871054,0.6018540918598434,83,15.8
Data Interpretation,Caselets,192,0.5705253802413914,0.573676575946348,82,15.6
Quantitative Aptitude,"Time, Speed & Distance",208,0.5836641148521436,0.612690287516257,81,15.4
Quantitative Aptitude,Surds & Indices,206,0.5664075736652995,0.5861545747994076,81,15.4
Quantitative Aptitude,Mixtures & Alligations,193,0.5630878285974661,0.5971397863559796,81,15.4
Quantitative Aptitude,Pipes & Cisterns,208,0.579858742833856,0.59410799168146,80,15.2
Data Interpretation,Radar/Spider Charts,197,0.5637060873234961,0.6067445137068698,80,15.2
Data Interpretation,Data Sufficiency (DI),202,0.5798608012994112,0.6443675457950582,79,15.0
Quantitative Aptitude,Probability,203,0.5805185058291079,0.6142892845090897,79,15.0
Logical Reasoning,Statement & Assumption,217,0.5946702437016537,0.6696012812667114,78,14.9
Verbal Ability,Idioms & Phrases,230,0.621255247648879,0.6663059429802773,77,14.7
Logical Reasoning,Data Sufficiency,191,0.5904736392755413,0.645377993649768,75,14.3
Quantitative Aptitude,Ratio & Proportion,192,0.5966068522797766,0.6240859869676663,75,14.3
Quantitative Aptitude,Simple Interest,208,0.5900613698148072,0.645506013586479,75,14.3
Logical Reasoning,Clocks & Calendars,210,0.5980727348886253,0.6349722010725602,74,14.1
Quantitative Aptitude,Compound Interest,193,0.5875186953763439,0.6101260215398453,71,13.5
Quantitative Aptitude,Percentages,165,0.5986553082014288,0.6464355860481681,68,13.0
