question_id,section,subtopic,difficulty_tag,exam_tags,_true_correct_prob
Q00001,Logical Reasoning,Puzzles,Hard,General,0.332
Q00002,Quantitative Aptitude,Averages,Easy,Placements,0.876
Q00003,Quantitative Aptitude,Compound Interest,Hard,"CAT,TCS NQT,General",0.379
Q00004,Quantitative Aptitude,Progressions (AP/GP),Hard,"CAT,General",0.338
Q00005,Verbal Ability,Para Jumbles,Easy,Placements,0.777
Q00006,Quantitative Aptitude,Permutation & Combination,Medium,"CAT,TCS NQT,Placements",0.527
Q00007,Logical Reasoning,Input-Output,Easy,Banking,0.749
Q00008,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,Placements",0.566
Q00009,Logical Reasoning,Input-Output,Medium,"SSC,Placements",0.553
Q00010,Logical Reasoning,Series Completion,Easy,"CAT,General",0.729
Q00011,Verbal Ability,Para Summary,Easy,SSC,0.77
Q00012,Verbal Ability,Fill in the Blanks,Medium,"SSC,CAT,Banking",0.535
Q00013,Quantitative Aptitude,Probability,Medium,Banking,0.591
Q00014,Quantitative Aptitude,Profit & Loss,Medium,"SSC,TCS NQT,General",0.489
Q00015,Logical Reasoning,Series Completion,Easy,"CAT,General,Placements",0.837
Q00016,Quantitative Aptitude,Mixtures & Alligations,Easy,Placements,0.809
Q00017,Quantitative Aptitude,Simple Interest,Easy,"SSC,Banking",0.726
Q00018,Verbal Ability,Cloze Test,Medium,"Placements,SSC",0.514
Q00019,Quantitative Aptitude,Linear Equations,Medium,General,0.566
Q00020,Quantitative Aptitude,Averages,Hard,"General,CAT,Placements",0.281
Q00021,Verbal Ability,Idioms & Phrases,Easy,"Placements,General,Banking",0.852
Q00022,Verbal Ability,Para Summary,Easy,"General,TCS NQT",0.847
Q00023,Logical Reasoning,Statement & Assumption,Easy,"SSC,CAT,Placements",0.817
Q00024,Quantitative Aptitude,Percentages,Easy,"Banking,SSC",0.849
Q00025,Quantitative Aptitude,Profit & Loss,Easy,TCS NQT,0.841
Q00026,Data Interpretation,Mixed DI Sets,Medium,General,0.618
Q00027,Quantitative Aptitude,Trigonometry,Medium,"General,Banking",0.568
Q00028,Verbal Ability,Synonyms & Antonyms,Medium,"Placements,General",0.627
Q00029,Logical Reasoning,Statement & Conclusion,Medium,"TCS NQT,Banking,General",0.554
Q00030,Quantitative Aptitude,Linear Equations,Medium,Placements,0.535
Q00031,Data Interpretation,Venn-based DI,Easy,"CAT,General",0.874
Q00032,Quantitative Aptitude,Simple Interest,Easy,General,0.774
Q00033,Quantitative Aptitude,Time & Work,Easy,"Banking,TCS NQT,CAT",0.846
Q00034,Verbal Ability,Para Summary,Easy,"TCS NQT,Banking",0.816
Q00035,Data Interpretation,Venn-based DI,Medium,"TCS NQT,CAT",0.515
Q00036,Quantitative Aptitude,Surds & Indices,Medium,"CAT,TCS NQT,SSC",0.534
Q00037,Verbal Ability,Cloze Test,Hard,"CAT,SSC",0.3
Q00038,Logical Reasoning,Input-Output,Easy,Banking,0.788
Q00039,Quantitative Aptitude,Number System,Easy,"General,SSC,Placements",0.792
Q00040,Logical Reasoning,Puzzles,Medium,"SSC,TCS NQT,Placements",0.57
Q00041,Logical Reasoning,Direction Sense,Hard,"Placements,TCS NQT",0.204
Q00042,Quantitative Aptitude,Permutation & Combination,Easy,TCS NQT,0.799
Q00043,Verbal Ability,Fill in the Blanks,Medium,"CAT,General",0.54
Q00044,Quantitative Aptitude,Linear Equations,Medium,"Placements,CAT",0.565
Q00045,Data Interpretation,Tables,Easy,"CAT,General,Banking",0.857
Q00046,Quantitative Aptitude,Profit & Loss,Medium,"Placements,General,Banking",0.588
Q00047,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,General",0.579
Q00048,Quantitative Aptitude,Geometry,Hard,TCS NQT,0.41
Q00049,Quantitative Aptitude,Pipes & Cisterns,Easy,"Placements,SSC,Banking",0.805
Q00050,Verbal Ability,Cloze Test,Easy,"SSC,Banking,TCS NQT",0.775
Q00051,Logical Reasoning,Puzzles,Easy,Placements,0.747
Q00052,Verbal Ability,Para Jumbles,Medium,"CAT,TCS NQT",0.574
Q00053,Data Interpretation,Venn-based DI,Easy,TCS NQT,0.761
Q00054,Data Interpretation,Tables,Hard,CAT,0.284
Q00055,Quantitative Aptitude,Partnership,Medium,"CAT,Placements,General",0.561
Q00056,Logical Reasoning,Syllogisms,Easy,"CAT,TCS NQT",0.865
Q00057,Quantitative Aptitude,Ratio & Proportion,Hard,"General,Banking",0.313
Q00058,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Placements,TCS NQT,Banking",0.839
Q00059,Verbal Ability,Sentence Correction,Hard,"Banking,Placements",0.313
Q00060,Verbal Ability,Para Jumbles,Easy,General,0.817
Q00061,Quantitative Aptitude,Geometry,Hard,"Banking,General",0.315
Q00062,Quantitative Aptitude,Mensuration,Easy,"CAT,General,TCS NQT",0.764
Q00063,Logical Reasoning,Ranking & Order,Medium,"SSC,CAT,Placements",0.49
Q00064,Verbal Ability,Sentence Correction,Easy,TCS NQT,0.833
Q00065,Quantitative Aptitude,Mensuration,Medium,Banking,0.598
Q00066,Verbal Ability,Synonyms & Antonyms,Medium,"Banking,Placements",0.571
Q00067,Quantitative Aptitude,Profit & Loss,Medium,"TCS NQT,CAT",0.506
Q00068,Data Interpretation,Bar Graphs,Medium,"TCS NQT,CAT,General",0.509
Q00069,Data Interpretation,Tables,Medium,Banking,0.551
Q00070,Logical Reasoning,Analogy,Medium,"Placements,Banking",0.623
Q00071,Quantitative Aptitude,Percentages,Medium,Banking,0.496
Q00072,Data Interpretation,Bar Graphs,Hard,"SSC,Banking",0.324
Q00073,Data Interpretation,Caselets,Medium,"General,TCS NQT",0.574
Q00074,Data Interpretation,Radar/Spider Charts,Hard,Placements,0.296
Q00075,Quantitative Aptitude,Mixtures & Alligations,Medium,CAT,0.528
Q00076,Quantitative Aptitude,Progressions (AP/GP),Medium,"TCS NQT,CAT,SSC",0.593
Q00077,Data Interpretation,Bar Graphs,Medium,TCS NQT,0.506
Q00078,Verbal Ability,Odd One Out,Hard,"TCS NQT,Placements,CAT",0.308
Q00079,Quantitative Aptitude,Permutation & Combination,Medium,Placements,0.568
Q00080,Verbal Ability,Para Jumbles,Medium,"CAT,Placements,Banking",0.578
Q00081,Logical Reasoning,Puzzles,Easy,"Placements,TCS NQT,CAT",0.826
Q00082,Data Interpretation,Pie Charts,Hard,"General,TCS NQT",0.326
Q00083,Logical Reasoning,Venn Diagrams,Medium,"Placements,SSC",0.579
Q00084,Verbal Ability,Sentence Correction,Medium,"Banking,Placements",0.607
Q00085,Data Interpretation,Caselets,Easy,"SSC,CAT",0.761
Q00086,Logical Reasoning,Blood Relations,Easy,"TCS NQT,General",0.788
Q00087,Logical Reasoning,Puzzles,Medium,TCS NQT,0.584
Q00088,Quantitative Aptitude,"Time, Speed & Distance",Easy,"SSC,Placements,General",0.719
Q00089,Verbal Ability,Para Jumbles,Medium,SSC,0.553
Q00090,Verbal Ability,Critical Reasoning,Easy,Banking,0.746
Q00091,Verbal Ability,Idioms & Phrases,Easy,"SSC,TCS NQT,CAT",0.802
Q00092,Logical Reasoning,Clocks & Calendars,Medium,"CAT,Placements,SSC",0.517
Q00093,Verbal Ability,Para Jumbles,Hard,General,0.199
Q00094,Verbal Ability,Idioms & Phrases,Easy,SSC,0.809
Q00095,Logical Reasoning,Clocks & Calendars,Easy,"Placements,SSC,General",0.825
Q00096,Logical Reasoning,Statement & Conclusion,Easy,"Banking,SSC,CAT",0.843
Q00097,Quantitative Aptitude,Profit & Loss,Easy,"Banking,SSC,CAT",0.888
Q00098,Verbal Ability,Reading Comprehension,Easy,"Placements,SSC",0.82
Q00099,Data Interpretation,Line Graphs,Medium,"Banking,TCS NQT,General",0.656
Q00100,Logical Reasoning,Blood Relations,Easy,CAT,0.852
Q00101,Logical Reasoning,Direction Sense,Medium,"CAT,SSC,Placements",0.572
Q00102,Logical Reasoning,Input-Output,Easy,CAT,0.839
Q00103,Logical Reasoning,Clocks & Calendars,Medium,"CAT,SSC",0.537
Q00104,Logical Reasoning,Series Completion,Medium,"Placements,CAT,SSC",0.488
Q00105,Verbal Ability,Idioms & Phrases,Easy,"TCS NQT,Placements",0.872
Q00106,Logical Reasoning,Statement & Assumption,Hard,Placements,0.228
Q00107,Verbal Ability,Para Summary,Easy,Placements,0.81
Q00108,Quantitative Aptitude,Pipes & Cisterns,Medium,"Banking,Placements",0.52
Q00109,Data Interpretation,Caselets,Medium,General,0.629
Q00110,Logical Reasoning,Puzzles,Medium,"CAT,Banking",0.488
Q00111,Data Interpretation,Tables,Medium,Banking,0.564
Q00112,Quantitative Aptitude,Linear Equations,Easy,"Placements,General",0.769
Q00113,Verbal Ability,Reading Comprehension,Easy,"Placements,Banking,SSC",0.771
Q00114,Quantitative Aptitude,Averages,Medium,SSC,0.592
Q00115,Verbal Ability,Fill in the Blanks,Hard,"TCS NQT,Banking,SSC",0.341
Q00116,Quantitative Aptitude,Number System,Easy,SSC,0.831
Q00117,Verbal Ability,Synonyms & Antonyms,Hard,"SSC,CAT,TCS NQT",0.299
Q00118,Logical Reasoning,Input-Output,Medium,"General,SSC",0.556
Q00119,Quantitative Aptitude,Geometry,Hard,"TCS NQT,CAT,Banking",0.289
Q00120,Verbal Ability,Verbal Analogies,Medium,SSC,0.605
Q00121,Quantitative Aptitude,Percentages,Hard,"Banking,CAT,Placements",0.365
Q00122,Quantitative Aptitude,Linear Equations,Hard,"CAT,SSC",0.301
Q00123,Logical Reasoning,Venn Diagrams,Easy,"CAT,SSC,TCS NQT",0.816
Q00124,Data Interpretation,Data Sufficiency (DI),Medium,"Banking,SSC",0.543
Q00125,Verbal Ability,Idioms & Phrases,Medium,Placements,0.5
Q00126,Verbal Ability,Para Summary,Medium,"Banking,Placements,SSC",0.489
Q00127,Verbal Ability,Para Summary,Medium,"CAT,SSC,TCS NQT",0.549
Q00128,Quantitative Aptitude,"Time, Speed & Distance",Medium,"TCS NQT,General",0.505
Q00129,Logical Reasoning,Venn Diagrams,Hard,"Banking,General",0.259
Q00130,Quantitative Aptitude,Surds & Indices,Medium,TCS NQT,0.534
Q00131,Verbal Ability,Odd One Out,Easy,"Placements,CAT,SSC",0.812
Q00132,Quantitative Aptitude,Permutation & Combination,Hard,"General,TCS NQT,SSC",0.275
Q00133,Verbal Ability,Para Jumbles,Easy,General,0.728
Q00134,Verbal Ability,Critical Reasoning,Hard,Placements,0.23
Q00135,Data Interpretation,Line Graphs,Medium,CAT,0.514
Q00136,Verbal Ability,Sentence Correction,Medium,"TCS NQT,CAT",0.539
Q00137,Logical Reasoning,Cubes & Dice,Hard,"General,TCS NQT",0.299
Q00138,Quantitative Aptitude,"Time, Speed & Distance",Medium,"General,Banking,TCS NQT",0.5
Q00139,Quantitative Aptitude,Quadratic Equations,Easy,Placements,0.816
Q00140,Verbal Ability,Cloze Test,Medium,"CAT,General,Banking",0.509
Q00141,Data Interpretation,Tables,Medium,General,0.585
Q00142,Quantitative Aptitude,Permutation & Combination,Hard,"CAT,TCS NQT",0.28
Q00143,Quantitative Aptitude,Ratio & Proportion,Hard,Banking,0.311
Q00144,Quantitative Aptitude,Compound Interest,Medium,"General,TCS NQT",0.551
Q00145,Data Interpretation,Venn-based DI,Medium,"SSC,Banking,TCS NQT",0.623
Q00146,Logical Reasoning,Cubes & Dice,Medium,General,0.598
Q00147,Logical Reasoning,Analogy,Hard,"SSC,Placements",0.409
Q00148,Quantitative Aptitude,Set Theory,Easy,"TCS NQT,Banking",0.76
Q00149,Logical Reasoning,Statement & Assumption,Medium,"Banking,CAT",0.512
Q00150,Data Interpretation,Caselets,Hard,SSC,0.308
Q00151,Verbal Ability,Fill in the Blanks,Medium,"TCS NQT,CAT",0.598
Q00152,Verbal Ability,Synonyms & Antonyms,Easy,Placements,0.771
Q00153,Data Interpretation,Data Sufficiency (DI),Hard,"Placements,General,CAT",0.234
Q00154,Data Interpretation,Data Sufficiency (DI),Hard,"SSC,TCS NQT",0.392
Q00155,Quantitative Aptitude,Mensuration,Easy,"CAT,Placements",0.859
Q00156,Data Interpretation,Data Sufficiency (DI),Easy,"TCS NQT,CAT",0.777
Q00157,Logical Reasoning,Ranking & Order,Medium,"CAT,SSC",0.544
Q00158,Logical Reasoning,Clocks & Calendars,Easy,"Banking,TCS NQT",0.862
Q00159,Quantitative Aptitude,Pipes & Cisterns,Hard,"TCS NQT,General,Placements",0.3
Q00160,Verbal Ability,Odd One Out,Hard,SSC,0.302
Q00161,Verbal Ability,Para Summary,Easy,"CAT,Banking",0.747
Q00162,Data Interpretation,Mixed DI Sets,Medium,"General,Banking,Placements",0.543
Q00163,Quantitative Aptitude,Mensuration,Medium,TCS NQT,0.473
Q00164,Quantitative Aptitude,Probability,Medium,Banking,0.614
Q00165,Logical Reasoning,Blood Relations,Medium,General,0.609
Q00166,Logical Reasoning,Input-Output,Medium,Banking,0.553
Q00167,Data Interpretation,Line Graphs,Medium,SSC,0.582
Q00168,Verbal Ability,Para Summary,Easy,"Placements,Banking",0.868
Q00169,Quantitative Aptitude,Algebra,Easy,"Banking,SSC",0.853
Q00170,Logical Reasoning,Input-Output,Medium,"CAT,Banking",0.462
Q00171,Data Interpretation,Bar Graphs,Easy,"TCS NQT,CAT,SSC",0.875
Q00172,Logical Reasoning,Statement & Assumption,Medium,"CAT,General,TCS NQT",0.554
Q00173,Data Interpretation,Tables,Hard,CAT,0.215
Q00174,Logical Reasoning,Direction Sense,Hard,Placements,0.297
Q00175,Logical Reasoning,Analogy,Easy,"CAT,TCS NQT,Placements",0.735
Q00176,Quantitative Aptitude,Mensuration,Easy,"SSC,General,Placements",0.833
Q00177,Quantitative Aptitude,Logarithms,Easy,"General,CAT,Placements",0.818
Q00178,Quantitative Aptitude,Mixtures & Alligations,Easy,TCS NQT,0.753
Q00179,Data Interpretation,Bar Graphs,Medium,"TCS NQT,Banking",0.501
Q00180,Quantitative Aptitude,Quadratic Equations,Easy,"Placements,CAT,General",0.825
Q00181,Quantitative Aptitude,Simple Interest,Easy,"SSC,TCS NQT,CAT",0.795
Q00182,Quantitative Aptitude,Progressions (AP/GP),Medium,SSC,0.498
Q00183,Logical Reasoning,Input-Output,Medium,"SSC,CAT,General",0.515
Q00184,Data Interpretation,Bar Graphs,Hard,"Banking,CAT",0.311
Q00185,Quantitative Aptitude,Geometry,Easy,"General,Banking",0.831
Q00186,Quantitative Aptitude,Partnership,Easy,Banking,0.838
Q00187,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,SSC,Banking",0.474
Q00188,Logical Reasoning,Cubes & Dice,Medium,"General,TCS NQT",0.618
Q00189,Quantitative Aptitude,Averages,Easy,"Placements,CAT",0.829
Q00190,Logical Reasoning,Statement & Conclusion,Medium,"Placements,Banking",0.566
Q00191,Quantitative Aptitude,Progressions (AP/GP),Medium,"General,Banking,SSC",0.47
Q00192,Quantitative Aptitude,Number System,Medium,"SSC,Placements",0.56
Q00193,Quantitative Aptitude,Trigonometry,Easy,SSC,0.768
Q00194,Quantitative Aptitude,Averages,Hard,"SSC,TCS NQT",0.246
Q00195,Logical Reasoning,Statement & Conclusion,Medium,"CAT,TCS NQT,Placements",0.55
Q00196,Quantitative Aptitude,Profit & Loss,Medium,General,0.624
Q00197,Logical Reasoning,Input-Output,Medium,"TCS NQT,Placements",0.498
Q00198,Quantitative Aptitude,Partnership,Medium,"General,Banking",0.54
Q00199,Verbal Ability,Odd One Out,Medium,CAT,0.48
Q00200,Quantitative Aptitude,Mixtures & Alligations,Easy,Banking,0.828
Q00201,Quantitative Aptitude,Partnership,Easy,SSC,0.77
Q00202,Quantitative Aptitude,Surds & Indices,Hard,"SSC,Banking,General",0.257
Q00203,Quantitative Aptitude,Geometry,Medium,"TCS NQT,SSC,General",0.564
Q00204,Quantitative Aptitude,Partnership,Medium,"SSC,General",0.547
Q00205,Data Interpretation,Caselets,Hard,CAT,0.271
Q00206,Quantitative Aptitude,Pipes & Cisterns,Medium,SSC,0.588
Q00207,Data Interpretation,Pie Charts,Medium,"TCS NQT,Placements,General",0.467
Q00208,Verbal Ability,Sentence Correction,Easy,"Banking,SSC,TCS NQT",0.827
Q00209,Quantitative Aptitude,Simple Interest,Medium,SSC,0.469
Q00210,Quantitative Aptitude,Ratio & Proportion,Medium,"Placements,SSC",0.552
Q00211,Quantitative Aptitude,Number System,Medium,"TCS NQT,Placements,SSC",0.547
Q00212,Logical Reasoning,Syllogisms,Easy,TCS NQT,0.739
Q00213,Quantitative Aptitude,Mixtures & Alligations,Easy,"Placements,Banking,CAT",0.85
Q00214,Quantitative Aptitude,Number System,Medium,"SSC,Banking,TCS NQT",0.521
Q00215,Verbal Ability,Odd One Out,Medium,"Placements,CAT",0.426
Q00216,Quantitative Aptitude,Averages,Hard,"CAT,General",0.26
Q00217,Verbal Ability,Para Summary,Hard,"CAT,TCS NQT",0.319
Q00218,Data Interpretation,Bar Graphs,Easy,Placements,0.77
Q00219,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,Placements",0.608
Q00220,Quantitative Aptitude,Simple Interest,Medium,"Banking,TCS NQT,Placements",0.563
Q00221,Quantitative Aptitude,Permutation & Combination,Easy,"Banking,General",0.82
Q00222,Verbal Ability,Critical Reasoning,Medium,"Banking,SSC,CAT",0.529
Q00223,Logical Reasoning,Puzzles,Hard,General,0.36
Q00224,Logical Reasoning,Series Completion,Medium,"General,CAT",0.53
Q00225,Logical Reasoning,Coding-Decoding,Easy,Placements,0.801
Q00226,Quantitative Aptitude,Probability,Hard,Placements,0.384
Q00227,Logical Reasoning,Blood Relations,Medium,"Banking,TCS NQT",0.562
Q00228,Quantitative Aptitude,Trigonometry,Hard,"CAT,Placements",0.339
Q00229,Verbal Ability,Critical Reasoning,Easy,"SSC,Banking,CAT",0.817
Q00230,Verbal Ability,Cloze Test,Medium,SSC,0.529
Q00231,Data Interpretation,Tables,Medium,"CAT,TCS NQT",0.527
Q00232,Quantitative Aptitude,Ratio & Proportion,Medium,"Placements,SSC,General",0.508
Q00233,Quantitative Aptitude,Profit & Loss,Medium,Placements,0.574
Q00234,Quantitative Aptitude,Mixtures & Alligations,Hard,"General,TCS NQT,SSC",0.317
Q00235,Quantitative Aptitude,Mensuration,Hard,Banking,0.287
Q00236,Verbal Ability,Error Spotting,Easy,"General,Banking",0.751
Q00237,Quantitative Aptitude,Averages,Medium,"TCS NQT,Banking,General",0.593
Q00238,Verbal Ability,Para Jumbles,Medium,"CAT,Banking,SSC",0.618
Q00239,Quantitative Aptitude,Logarithms,Easy,"CAT,General",0.711
Q00240,Logical Reasoning,Statement & Assumption,Hard,"TCS NQT,General,CAT",0.375
Q00241,Quantitative Aptitude,Surds & Indices,Medium,"TCS NQT,CAT",0.672
Q00242,Quantitative Aptitude,Time & Work,Hard,"TCS NQT,Banking",0.306
Q00243,Data Interpretation,Caselets,Medium,TCS NQT,0.574
Q00244,Verbal Ability,Para Summary,Easy,"Banking,CAT,General",0.811
Q00245,Logical Reasoning,Data Sufficiency,Medium,"SSC,General",0.63
Q00246,Data Interpretation,Pie Charts,Hard,SSC,0.274
Q00247,Logical Reasoning,Input-Output,Easy,"Banking,SSC,General",0.803
Q00248,Logical Reasoning,Syllogisms,Medium,"CAT,SSC",0.605
Q00249,Quantitative Aptitude,Averages,Easy,"CAT,Banking",0.749
Q00250,Logical Reasoning,Blood Relations,Hard,"TCS NQT,Banking,General",0.217
Q00251,Quantitative Aptitude,Percentages,Easy,TCS NQT,0.783
Q00252,Quantitative Aptitude,Linear Equations,Medium,"Banking,General,CAT",0.633
Q00253,Quantitative Aptitude,"Time, Speed & Distance",Easy,"TCS NQT,Placements",0.665
Q00254,Data Interpretation,Caselets,Medium,"General,Banking",0.547
