user_id,signup_date,target_exam,engagement_level,account_age_days
U00001,2026-04-17,Placements,medium,103
U00002,2025-10-13,Placements,medium,289
U00003,2025-09-05,CAT,medium,327
U00004,2025-09-04,CAT,low,328
U00005,2025-09-04,CAT,low,328
U00006,2026-05-30,SSC,medium,60
U00007,2026-03-16,CAT,high,135
U00008,2026-02-12,CAT,low,167
U00009,2026-01-30,CAT,medium,180
U00010,2026-01-03,Placements,low,207
U00011,2025-12-28,CAT,medium,213
U00012,2026-05-30,CAT,low,60
U00013,2025-09-13,CAT,low,319
U00014,2025-09-04,SSC,low,328
U00015,2026-02-06,CAT,medium,173
U00016,2026-05-10,Banking,high,80
U00017,2026-03-30,CAT,high,121
U00018,2026-05-21,CAT,medium,69
U00019,2026-06-02,CAT,medium,57
U00020,2025-06-25,CAT,high,399
U00021,2026-07-05,CAT,high,24
U00022,2025-10-21,Placements,low,281
U00023,2025-08-05,Placements,low,358
U00024,2025-09-15,CAT,high,317
U00025,2025-09-13,Placements,medium,319
U00026,2026-03-08,CAT,low,143
U00027,2025-07-20,CAT,medium,374
U00028,2025-06-01,Placements,medium,423
U00029,2025-12-23,CAT,high,218
U00030,2025-06-21,Placements,medium,403
U00031,2026-06-16,Banking,low,43
U00032,2026-02-14,CAT,high,165
U00033,2026-04-12,Placements,medium,108
U00034,2025-07-10,SSC,low,384
U00035,2026-06-13,Banking,high,46
U00036,2026-02-07,CAT,medium,172
U00037,2025-06-23,Banking,low,401
U00038,2025-06-20,CAT,medium,404
U00039,2025-12-04,Placements,medium,237
U00040,2025-08-17,Banking,high,346
U00041,2025-08-04,Placements,low,359
U00042,2026-04-05,Placements,low,115
U00043,2025-07-12,CAT,medium,382
U00044,2026-02-26,Placements,low,153
U00045,2025-10-15,CAT,medium,287
U00046,2025-11-26,Banking,medium,245
U00047,2026-01-22,SSC,high,188
U00048,2026-05-02,CAT,low,88
U00049,2026-07-04,CAT,high,25
U00050,2025-10-30,CAT,high,272
U00051,2026-03-25,Banking,low,126
U00052,2026-06-28,CAT,high,31
U00053,2025-12-26,CAT,low,215
U00054,2025-12-03,CAT,medium,238
U00055,2026-04-13,Placements,medium,107
U00056,2026-04-03,CAT,low,117
U00057,2025-06-11,Placements,low,413
U00058,2025-11-18,CAT,low,253
U00059,2025-08-07,CAT,high,356
U00060,2026-01-29,CAT,low,181
U00061,2025-06-10,Placements,medium,414
U00062,2026-05-27,CAT,medium,63
U00063,2025-09-01,SSC,low,331
U00064,2025-11-27,Placements,medium,244
U00065,2026-04-12,CAT,high,108
U00066,2026-04-14,CAT,low,106
U00067,2026-01-06,Banking,high,204
U00068,2025-07-19,Placements,high,375
U00069,2025-07-28,CAT,medium,366
U00070,2025-10-27,CAT,high,275
U00071,2025-09-19,CAT,high,313
U00072,2025-11-10,CAT,low,261
U00073,2026-02-13,Placements,low,166
U00074,2025-09-08,Placements,medium,324
U00075,2025-06-23,CAT,medium,401
U00076,2025-11-07,CAT,low,264
U00077,2025-06-04,CAT,high,420
U00078,2026-04-18,Banking,medium,102
U00079,2026-02-03,SSC,high,176
U00080,2026-02-01,Placements,low,178
U00081,2026-06-10,CAT,medium,49
U00082,2026-06-15,CAT,medium,44
U00083,2026-06-04,Placements,high,55
U00084,2025-12-05,CAT,low,236
U00085,2025-08-03,CAT,low,360
U00086,2025-09-22,CAT,high,310
U00087,2025-06-21,Banking,low,403
U00088,2026-01-06,Banking,medium,204
U00089,2025-07-10,Placements,high,384
U00090,2025-06-06,Banking,low,418
U00091,2026-04-01,Placements,low,119
U00092,2026-06-20,SSC,low,39
U00093,2025-08-18,CAT,medium,345
U00094,2025-08-11,Placements,low,352
U00095,2025-07-26,Banking,medium,368
U00096,2025-12-23,SSC,medium,218
U00097,2026-03-09,Placements,medium,142
U00098,2026-03-28,Placements,high,123
U00099,2026-01-20,CAT,high,190
U00100,2025-10-26,Banking,high,276
U00101,2025-11-21,SSC,low,250
U00102,2025-09-11,CAT,medium,321
U00103,2026-01-22,CAT,medium,188
U00104,2025-07-27,Placements,low,367
U00105,2025-10-23,Placements,high,279
U00106,2026-01-15,CAT,high,195
U00107,2025-10-01,CAT,medium,301
U00108,2025-08-19,CAT,high,344
U00109,2025-06-23,SSC,low,401
U00110,2025-10-24,CAT,medium,278
U00111,2025-10-04,CAT,high,298
U00112,2025-07-13,Placements,low,381
U00113,2026-04-09,Placements,medium,111
U00114,2025-08-04,CAT,medium,359
U00115,2026-01-14,Placements,low,196
U00116,2025-10-23,CAT,low,279
U00117,2025-10-06,Placements,low,296
U00118,2025-07-15,Banking,high,379
U00119,2025-08-31,Placements,low,332
U00120,2025-12-29,CAT,medium,212
U00121,2026-01-04,SSC,medium,206
U00122,2025-12-28,CAT,low,213
U00123,2025-11-27,Placements,high,244
U00124,2025-12-21,Placements,high,220
U00125,2025-06-23,CAT,low,401
U00126,2025-08-29,SSC,high,334
U00127,2025-09-22,Placements,medium,310
U00128,2025-09-12,Placements,medium,320
U00129,2025-12-23,Placements,high,218
U00130,2025-07-15,CAT,medium,379
U00131,2025-12-29,SSC,low,212
U00132,2025-11-30,CAT,high,241
U00133,2025-11-21,CAT,low,250
U00134,2026-02-17,CAT,medium,162
U00135,2025-06-12,SSC,low,412
U00136,2026-01-01,Placements,high,209
U00137,2026-06-26,CAT,medium,33
U00138,2025-08-14,SSC,medium,349
U00139,2025-10-07,Banking,low,295
U00140,2026-01-19,CAT,low,191
U00141,2025-11-14,CAT,medium,257
U00142,2025-11-17,CAT,medium,254
U00143,2025-11-21,SSC,low,250
U00144,2025-08-16,Banking,low,347
U00145,2026-01-02,Banking,low,208
U00146,2026-01-20,CAT,high,190
U00147,2025-08-11,Banking,low,352
U00148,2025-06-28,CAT,low,396
U00149,2026-05-12,Banking,high,78
U00150,2025-10-02,Placements,low,300
U00151,2025-12-25,CAT,low,216
U00152,2026-04-19,CAT,high,101
U00153,2026-01-29,CAT,medium,181
U00154,2026-06-18,CAT,high,41
U00155,2025-06-30,CAT,low,394
U00156,2025-08-13,Placements,high,350
U00157,2026-01-19,Placements,high,191
U00158,2026-06-06,Placements,medium,53
U00159,2025-11-08,CAT,medium,263
U00160,2025-07-28,SSC,high,366
U00161,2025-06-04,Banking,high,420
U00162,2025-06-04,CAT,medium,420
U00163,2025-11-30,Placements,medium,241
U00164,2026-06-19,Placements,medium,40
U00165,2026-05-17,Placements,medium,73
U00166,2026-01-10,Banking,low,200
U00167,2026-03-09,CAT,low,142
U00168,2026-02-05,Placements,medium,174
U00169,2025-06-22,CAT,low,402
U00170,2026-01-05,Placements,medium,205
U00171,2026-03-24,Banking,low,127
U00172,2025-06-02,Placements,low,422
U00173,2025-11-11,SSC,low,260
U00174,2026-01-23,CAT,high,187
U00175,2025-07-09,CAT,high,385
U00176,2026-07-01,CAT,low,28
U00177,2025-07-07,Banking,low,387
U00178,2025-08-31,CAT,high,332
U00179,2025-07-13,Placements,medium,381
U00180,2026-05-24,SSC,medium,66
U00181,2026-02-23,CAT,low,156
U00182,2025-07-17,CAT,low,377
U00183,2025-12-14,CAT,medium,227
U00184,2026-01-19,Banking,medium,191
U00185,2026-05-19,Placements,low,71
U00186,2026-04-03,Placements,high,117
U00187,2025-09-12,Placements,medium,320
U00188,2025-09-01,Banking,low,331
U00189,2025-10-02,CAT,medium,300
U00190,2025-12-04,Placements,medium,237
U00191,2025-09-05,CAT,high,327
U00192,2026-03-22,CAT,low,129
U00193,2025-09-26,CAT,low,306
U00194,2026-06-25,CAT,low,34
U00195,2026-05-23,Placements,high,67
U00196,2025-09-27,Placements,high,305
U00197,2025-06-09,CAT,medium,415
U00198,2026-04-19,Placements,low,101
U00199,2025-12-07,CAT,high,234
U00200,2025-10-18,CAT,low,284
U00201,2026-02-27,CAT,medium,152
U00202,2025-10-23,Placements,medium,279
U00203,2026-06-11,CAT,medium,48
U00204,2026-03-26,CAT,low,125
U00205,2026-05-25,Placements,medium,65
U00206,2025-11-11,CAT,high,260
U00207,2025-07-12,CAT,low,382
U00208,2026-01-01,Banking,medium,209
U00209,2025-11-17,CAT,high,254
U00210,2026-01-29,CAT,medium,181
U00211,2025-06-29,CAT,medium,395
U00212,2026-01-13,SSC,high,197
U00213,2026-03-25,Placements,high,126
U00214,2025-10-30,CAT,medium,272
U00215,2025-09-05,Placements,medium,327
U00216,2025-08-14,Placements,medium,349
U00217,2025-07-26,CAT,low,368
U00218,2026-05-28,Placements,low,62
U00219,2026-02-26,CAT,medium,153
U00220,2025-09-25,CAT,low,307
U00221,2025-06-17,Placements,medium,407
U00222,2025-08-15,CAT,high,348
U00223,2025-10-17,CAT,low,285
U00224,2025-08-30,CAT,low,333
U00225,2025-12-20,CAT,low,221
U00226,2026-05-16,Placements,low,74
U00227,2025-10-14,Placements,medium,288
U00228,2025-12-29,Banking,low,212
U00229,2026-06-19,CAT,low,40
U00230,2026-02-26,SSC,high,153
U00231,2025-11-19,Placements,low,252
U00232,2026-04-18,Banking,low,102
U00233,2026-05-17,Placements,low,73
U00234,2025-11-17,CAT,low,254
U00235,2026-06-14,Placements,low,45
U00236,2025-07-27,Placements,low,367
U00237,2026-03-21,Placements,low,130
U00238,2025-06-13,Placements,low,411
U00239,2025-08-13,Placements,low,350
U00240,2026-06-05,Placements,low,54
U00241,2025-06-18,Placements,low,406
U00242,2025-11-03,CAT,low,268
U00243,2025-07-06,CAT,high,388
U00244,2026-07-02,CAT,medium,27
U00245,2026-05-01,Placements,high,89
U00246,2025-07-04,Placements,low,390
U00247,2025-11-13,CAT,high,258
U00248,2026-05-30,CAT,high,60
U00249,2025-11-04,CAT,high,267
U00250,2026-03-06,Banking,low,145
U00251,2026-02-14,CAT,medium,165
U00252,2025-06-17,CAT,low,407
U00253,2026-07-04,CAT,low,25
U00254,2025-11-09,Placements,medium,262
U00255,2025-07-21,Placements,high,373
U00256,2025-06-26,Placements,high,398
U00257,2026-04-07,CAT,low,113
U00258,2025-09-22,Placements,low,310
U00259,2025-09-06,Placements,low,326
U00260,2025-10-24,CAT,high,278
U00261,2025-12-18,CAT,medium,223
U00262,2026-07-02,CAT,medium,27
U00263,2025-12-04,SSC,high,237
U00264,2026-06-06,Placements,medium,53
U00265,2025-10-05,CAT,high,297
U00266,2025-09-23,CAT,high,309
U00267,2025-12-31,CAT,low,210
U00268,2025-09-12,CAT,high,320
U00269,2026-06-27,CAT,medium,32
U00270,2025-09-30,Placements,low,302
U00271,2025-06-04,Banking,low,420
U00272,2025-11-09,Placements,medium,262
U00273,2026-02-02,CAT,medium,177
U00274,2026-05-29,Placements,medium,61
U00275,2026-07-01,Banking,medium,28
U00276,2025-12-06,Placements,high,235
U00277,2026-05-25,Placements,low,65
U00278,2025-11-02,CAT,high,269
U00279,2025-09-08,SSC,high,324
U00280,2026-01-25,Placements,high,185
U00281,2026-05-25,Placements,low,65
U00282,2025-06-28,Placements,medium,396
U00283,2025-06-02,Placements,low,422
U00284,2026-03-23,Banking,medium,128
U00285,2026-03-04,CAT,low,147
U00286,2025-10-23,CAT,high,279
U00287,2025-08-01,CAT,low,362
U00288,2025-12-25,CAT,low,216
U00289,2026-06-30,Placements,high,29
U00290,2025-10-13,CAT,medium,289
U00291,2025-09-28,Placements,low,304
U00292,2026-01-17,CAT,high,193
U00293,2026-01-16,CAT,medium,194
U00294,2025-06-17,SSC,high,407
U00295,2026-04-24,Placements,high,96
U00296,2026-04-28,CAT,medium,92
U00297,2025-08-15,CAT,low,348
U00298,2025-07-20,Placements,low,374
U00299,2026-01-23,Placements,high,187
U00300,2025-06-06,CAT,low,418
U00301,2026-06-18,CAT,low,41
U00302,2025-10-17,CAT,high,285
U00303,2026-01-12,Placements,medium,198
U00304,2025-07-02,SSC,low,392
U00305,2025-07-27,Placements,low,367
U00306,2025-09-03,Placements,high,329
U00307,2025-11-22,CAT,low,249
U00308,2026-05-27,CAT,high,63
U00309,2026-05-25,CAT,low,65
U00310,2026-04-15,Banking,medium,105
U00311,2025-08-26,Placements,high,337
