user_id,signup_date,target_exam,engagement_level,_skill_quant,_skill_lr,_skill_va,_skill_di
U00001,2026-04-17,Placements,medium,0.346,0.789,0.555,0.742
U00002,2025-10-13,Placements,medium,0.762,0.521,0.554,0.554
U00003,2025-09-05,CAT,medium,0.45,0.592,0.403,0.523
U00004,2025-09-04,CAT,low,0.814,0.747,0.314,0.541
U00005,2025-09-04,CAT,low,0.938,0.455,0.468,0.866
U00006,2026-05-30,SSC,medium,0.687,0.507,0.519,0.405
U00007,2026-03-16,CAT,high,0.351,0.625,0.578,0.746
U00008,2026-02-12,CAT,low,0.333,0.872,0.855,0.556
U00009,2026-01-30,CAT,medium,0.586,0.889,0.533,0.265
U00010,2026-01-03,Placements,low,0.812,0.663,0.523,0.724
U00011,2025-12-28,CAT,medium,0.454,0.514,0.649,0.647
U00012,2026-05-30,CAT,low,0.485,0.656,0.298,0.677
U00013,2025-09-13,CAT,low,0.347,0.595,0.751,0.329
U00014,2025-09-04,SSC,low,0.374,0.33,0.423,0.404
U00015,2026-02-06,CAT,medium,0.626,0.696,0.275,0.505
U00016,2026-05-10,Banking,high,0.379,0.355,0.268,0.254
U00017,2026-03-30,CAT,high,0.62,0.361,0.342,0.593
U00018,2026-05-21,CAT,medium,0.35,0.216,0.66,0.21
U00019,2026-06-02,CAT,medium,0.499,0.658,0.367,0.787
U00020,2025-06-25,CAT,high,0.699,0.709,0.1,0.95
U00021,2026-07-05,CAT,high,0.49,0.934,0.782,0.929
U00022,2025-10-21,Placements,low,0.362,0.502,0.714,0.607
U00023,2025-08-05,Placements,low,0.76,0.757,0.738,0.603
U00024,2025-09-15,CAT,high,0.552,0.752,0.719,0.389
U00025,2025-09-13,Placements,medium,0.429,0.713,0.679,0.475
U00026,2026-03-08,CAT,low,0.904,0.596,0.665,0.34
U00027,2025-07-20,CAT,medium,0.39,0.629,0.622,0.497
U00028,2025-06-01,Placements,medium,0.438,0.346,0.342,0.595
U00029,2025-12-23,CAT,high,0.376,0.54,0.54,0.612
U00030,2025-06-21,Placements,medium,0.486,0.43,0.703,0.251
U00031,2026-06-16,Banking,low,0.631,0.616,0.575,0.582
U00032,2026-02-14,CAT,high,0.87,0.671,0.741,0.488
U00033,2026-04-12,Placements,medium,0.767,0.523,0.636,0.678
U00034,2025-07-10,SSC,low,0.781,0.294,0.347,0.637
U00035,2026-06-13,Banking,high,0.47,0.473,0.388,0.542
U00036,2026-02-07,CAT,medium,0.27,0.754,0.619,0.783
U00037,2025-06-23,Banking,low,0.573,0.424,0.326,0.373
U00038,2025-06-20,CAT,medium,0.793,0.423,0.621,0.655
U00039,2025-12-04,Placements,medium,0.519,0.857,0.326,0.381
U00040,2025-08-17,Banking,high,0.697,0.579,0.616,0.729
U00041,2025-08-04,Placements,low,0.414,0.426,0.709,0.572
U00042,2026-04-05,Placements,low,0.476,0.602,0.496,0.395
U00043,2025-07-12,CAT,medium,0.489,0.5,0.832,0.716
U00044,2026-02-26,Placements,low,0.529,0.636,0.609,0.635
U00045,2025-10-15,CAT,medium,0.404,0.623,0.551,0.211
U00046,2025-11-26,Banking,medium,0.857,0.717,0.75,0.347
U00047,2026-01-22,SSC,high,0.425,0.128,0.786,0.499
U00048,2026-05-02,CAT,low,0.885,0.509,0.547,0.724
U00049,2026-07-04,CAT,high,0.156,0.791,0.593,0.648
U00050,2025-10-30,CAT,high,0.445,0.579,0.569,0.753
U00051,2026-03-25,Banking,low,0.666,0.437,0.658,0.484
U00052,2026-06-28,CAT,high,0.404,0.649,0.585,0.335
U00053,2025-12-26,CAT,low,0.62,0.628,0.882,0.729
U00054,2025-12-03,CAT,medium,0.428,0.467,0.262,0.331
U00055,2026-04-13,Placements,medium,0.56,0.424,0.1,0.857
U00056,2026-04-03,CAT,low,0.496,0.542,0.552,0.396
U00057,2025-06-11,Placements,low,0.461,0.5,0.428,0.324
U00058,2025-11-18,CAT,low,0.336,0.351,0.632,0.622
U00059,2025-08-07,CAT,high,0.76,0.643,0.832,0.446
U00060,2026-01-29,CAT,low,0.34,0.729,0.546,0.405
